Index,Server,Local
39,0A,0D
41,6F,0D
42,6E,0A
43,3A,6F
44,0A,6E
45,20,3A
46,20,0D
47,70,0A
48,75,20
49,73,20
50,68,70
51,3A,75
52,0A,73
53,20,68
54,20,3A
55,20,0D
56,20,0A
57,62,20
58,72,20
59,61,20
60,6E,20
61,63,62
62,68,72
63,65,61
64,73,6E
65,3A,63
66,0A,68
67,20,65
68,20,73
69,20,3A
70,20,0D
71,20,0A
73,2D,20
75,27,20
76,76,20
77,61,20
78,6C,2D
79,69,20
80,64,76
82,74,6C
83,65,69
84,2F,64
85,2A,61
86,2A,74
87,27,65
88,0A,2F
89,20,2A
90,20,2A
91,20,0D
92,20,0A
93,20,0D
94,20,0A
95,2D,70
96,20,65
97,27,72
98,76,6D
99,61,69
100,6C,73
101,69,73
102,64,69
103,61,6F
104,74,6E
105,65,73
106,2F,3A
107,2A,0D
108,27,0A
109,0A,20
110,0A,20
111,70,61
112,65,63
113,72,74
114,6D,69
115,69,6F
116,73,6E
118,69,3A
119,6F,20
120,6E,72
121,73,65
122,3A,61
123,0A,64
124,20,0D
125,20,0A
126,61,20
127,63,20
128,74,63
129,69,6F
130,6F,6E
131,6E,74
132,73,65
133,3A,6E
134,20,74
135,72,73
136,65,3A
137,61,20
138,64,72
139,0A,65
140,20,61
141,20,64
142,63,0D
143,6F,0A
